Season	Bachelorette	B_Age	b_Hometown	Winner	W_Age	W_Hometown	Runner Up	R_Age	R_Hometown
1	Trista Rehn	30	Indianapolis, Indiana	Ryan Sutter	28	Vail, Colorado	Charlie Maher	28	Hermosa Beach, California
2	Meredith Phillips	29	Beaverton, Oregon	Ian McKee	29	New York, New York	Matthew Hickl	28	Friendswood, Texas
3	Jennifer Schefft	30	Mentor, Ohio	Jerry Ferris	29	Los Angeles, California	John Merritt	25	Oklahoma City, Oklahoma
4	DeAnna Pappas	27	Marietta, Georgia	Jesse Csincsak	26	Breckenridge, Colorado	Jason Mesnick	31	Kirkland, Washington
5	Jillian Harris	29	Peace River, Alberta	Ed Swiderski	29	Monroe, Michigan	Kiptyn Locke	31	Encinitas, California
6	Ali Fedotowsky	25	Williamstown, Massachusetts	Roberto Martinez	26	Tampa, Florida	Chris Lambton	33	Dennis, Massachusetts
7	Ashley Hebert	26	Madawaska, Maine	J.P Rosenbaum	34	Roslyn, New York	Ben Flajnik	28	Sonoma, California
8	Emily Maynard	26	Morgantown, West Virginia	Jef Holm	27	St. George, Utah	Arie Luyendyk Jr.	30	Scottsdale, Arizona
9	Desiree Hartsock	27	Northglenn, Colorado	Chris Siegfried	27	McMinnville, Oregon	Drew Kenney	27	Scottsdale, Arizona
10	Andi Dorfman	26	Atlanta, Georgia	Josh Murray	29	Tampa, Florida	Nick Viall	33	Waukesha, Wisconsin
11	Kaitlyn Bristowe	29	Leduc, Alberta	Shawn Booth	28	Windsor Locks, Connecticut	Nick Viall	34	Waukesha, Wisconsin
12	Joelle "JoJo" Fletcher	25	Dallas, Texas	Jordan Rodgers	27	Chico, California	Robby Hayes	27	Jacksonville, Florida
13	Rachel Lindsay	31	Dallas, Texas	Bryan Abasolo	37	Miami, Florida	Peter Kraus	31	Madison, Wisconsin
14	Becca Kufrin	28	Prior Lake, Minnesota	Garrett Yrigoyen	29	Reno, Nevada	Blake Horstmann	28	Bailey, Colorado
15	Hannah Brown	24	Tuscaloosa, Alabama	Jed Wyatt	25	Sevierville, Tennessee	Tyler Cameron	26	Jupiter, Florida
16	Tayshia Adams	29	Santa ana, California	Zac Clark	36	Haddonfield, New Jersey	Ben Smith	30	Noblesville, Indiana
17	Katie Thurston	30	Renton, Washington	Blake Moynes	30	Hamilton, Ontario	Justin Glaze	26	Ellicott City, Maryland
18	Michelle Young	28	Edina, Minnesota	Nayte Olukoya	27	Winnipeg, Manitoba	Brandon Jones	26	Portland, Oregon
19	Rachel Recchia	26	Clemont, Florida	Tino Franco	28	Santa Clarita, California	Aven Jones	28	Salem, Massachusetts
19	Gabby Windey	31	Denver, Colorado	Erich Schwer	29	Bedminster, New Jersey	Jason Alabaster	30	Memphis, Tennessee
20	Charity Lawson	27	Columbus, Georgia	Dotun Olubeko	30	Fresno, California	Joey Graziadei	27	Koloa, Hawaii
21	Jenn Tran	26	Hillsdale, New Jersey	Devin Strader	28	Resenburg, Texas	Marcus Shoberg	31	Cloquet, Minnestoa